,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,3729.0,0.0,19.0,0.0,305.6314821684448,305.6314821684448,7.610391739880201,7045.62139214077,7045.62139214077,24.5046049470534
1,1.0,3430.0,149.0,150.0,19.0,19.154268005150673,306.4652505864906,1.9309677002415326,116.69771157460215,7057.971861462924,3.249358364811247
2,2.0,1669.0,655.0,1255.0,169.0,9.682689089423143,307.8852273785201,1.2845050972571708,40.916064970146095,6941.561918786689,1.8562762792493555
3,3.0,243.0,280.0,1801.0,1424.0,8.01431155221655,295.13447405907584,1.1877516566026434,26.582735569749214,6674.302160926617,1.6242269712949193
4,4.0,75.0,171.0,277.0,3225.0,7.970843429957954,292.8623083103803,1.2090527458660576,26.118691655783476,6669.997196245672,1.6256471260702807
5,5.0,61.0,158.0,27.0,3502.0,8.014640503036212,292.3698138881299,1.2374815863804327,25.55676194130841,6668.848363701079,1.6466212713522752
6,6.0,58.0,158.0,3.0,3529.0,7.986134482245429,292.40181656218317,1.2332916303540196,25.496994721143892,6668.927645461243,1.6401759079763623
7,7.0,58.0,157.0,1.0,3532.0,7.990436372044146,292.40181656218317,1.2350936258209528,25.449498575446917,6668.927645461243,1.6417799867999936
8,8.0,58.0,157.0,0.0,3533.0,7.972045358765709,292.40181656218317,1.2333882623202976,25.3727137162515,6668.927645461243,1.63801412945938
9,9.0,58.0,157.0,0.0,3533.0,7.947232894059523,292.40181656218317,1.2308076407964175,25.278334408647478,6668.927645461243,1.632875726710442
10,10.0,58.0,157.0,0.0,3533.0,7.918524951387298,292.40181656218317,1.227774413183692,25.174187250262804,6668.927645461243,1.6269156320574254
11,11.0,58.0,157.0,0.0,3533.0,7.889164586262803,292.40181656218317,1.2247635244293287,25.0669337137506,6668.927645461243,1.6208591584945087
12,12.0,58.0,157.0,0.0,3533.0,7.860341359048455,292.40181656218317,1.2219144557569415,24.960546909046535,6668.927645461243,1.6149433512346423
13,13.0,58.0,157.0,0.0,3533.0,7.8329366295612335,292.40181656218317,1.2193275244249284,24.857733531788444,6668.927645461243,1.609347977799435
14,14.0,58.0,157.0,0.0,3533.0,7.8073649498560425,292.40181656218317,1.2170395650464474,24.760045794864133,6668.927645461243,1.6041518428611412
