,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,4018.0,0.0,21.0,0.0,336.4041042250219,336.4041042250219,8.811925924618627,7328.2591454511485,7328.2591454511485,29.247565333407504
1,1.0,3730.0,133.0,155.0,21.0,21.23283713896319,338.5771624025058,3.136339456560206,90.30498634677718,7475.323740294428,3.9583009908589832
2,2.0,2118.0,591.0,1154.0,176.0,12.397706608190708,340.05626828912835,1.7529313685425074,45.12623221075822,7298.691066062876,2.4100067996738113
3,3.0,529.0,462.0,1718.0,1330.0,10.114820277588835,325.82975690016883,1.5069585277664976,31.93271570646932,6980.981649415329,2.039852967614656
4,4.0,140.0,246.0,605.0,3048.0,9.47364924916943,318.70093564394904,1.3552879849694133,30.527625106954115,6947.5211850906435,1.9118293899364251
5,5.0,79.0,174.0,133.0,3653.0,9.124670069656307,318.09044247410174,1.3063068006976406,29.23679462206426,6940.991558820817,1.8486202432528525
6,6.0,65.0,169.0,19.0,3786.0,9.157404281802627,317.6167736629636,1.3384806674187213,28.976090205646777,6939.481262083719,1.859572321542537
7,7.0,63.0,168.0,3.0,3805.0,9.146180081755048,317.51131213155526,1.3608447186724906,28.767580452690666,6938.993526564775,1.8570393091806678
8,8.0,63.0,167.0,1.0,3808.0,9.186034590272875,317.51131213155526,1.3916644741903819,28.680023345422033,6938.993526564775,1.865567829363303
9,9.0,63.0,167.0,0.0,3809.0,9.224505420145583,317.51131213155526,1.4183510081018824,28.62338950718365,6938.993526564775,1.8735331115181264
10,10.0,63.0,167.0,0.0,3809.0,9.258340036992962,317.51131213155526,1.4415640706110835,28.579060126027297,6938.993526564775,1.8804454161655235
11,11.0,63.0,167.0,0.0,3809.0,9.283716737181717,317.51131213155526,1.4602975780191714,28.5374791289384,6938.993526564775,1.8855699038712233
12,12.0,63.0,167.0,0.0,3809.0,9.30167655515681,317.51131213155526,1.474956584066385,28.498767190288273,6938.993526564775,1.88913827725895
13,13.0,63.0,167.0,0.0,3809.0,9.312459765304197,317.51131213155526,1.4857687401908892,28.46131310860956,6938.993526564775,1.8912287144363757
14,14.0,63.0,167.0,0.0,3809.0,9.31692105937745,317.51131213155526,1.4931350663957628,28.4250434176401,6938.993526564775,1.8920271503673358
