,round,"I_state_counts,","A_state_counts,","S_state_counts,","R_state_counts,",polarization_internal,polarization_external,polarization_equilibrium,disagreement_internal,disagreement_external,disagreement_equilibrium
0,0.0,4018.0,0.0,21.0,0.0,336.6441617271422,336.6441617271422,8.229007318949382,7589.295262653266,7589.295262653266,28.726188153076695
1,1.0,3591.0,212.0,215.0,21.0,19.24897653535398,337.8113618644839,2.6992555500679973,87.63067125121165,7647.131954650763,3.5606568064166475
2,2.0,2060.0,498.0,1245.0,236.0,11.885830311435246,340.1014313978639,1.6626431071795036,43.88012733239369,7430.734091065121,2.2826177366740468
3,3.0,576.0,526.0,1456.0,1481.0,9.83215241729932,327.5108403354368,1.558942817340979,31.185645048457175,7306.2133632075065,1.9454252634483329
4,4.0,124.0,278.0,700.0,2937.0,9.377603366481019,319.4339044414605,1.4515987882983734,30.393417444369266,7112.870872084911,1.8494455694205194
5,5.0,68.0,215.0,119.0,3637.0,9.117192879446698,317.80278713476565,1.424275259601178,29.269286523510548,7106.580547250559,1.8059153433652368
6,6.0,61.0,198.0,24.0,3756.0,9.031974300891399,317.5934801769755,1.4279682368174758,28.863426423306283,7105.581637587182,1.7922689315310059
7,7.0,57.0,195.0,7.0,3780.0,9.025014050407986,317.454773730272,1.4463668903580142,28.68146757874637,7104.776303433714,1.7922201465073893
8,8.0,57.0,193.0,2.0,3787.0,9.026465807742087,317.454773730272,1.4673957846119041,28.5392288862295,7104.776303433714,1.7928609490683005
9,9.0,57.0,193.0,0.0,3789.0,9.035511724335596,317.454773730272,1.4873758289340269,28.44205825719774,7104.776303433714,1.7945083246626474
10,10.0,57.0,193.0,0.0,3789.0,9.04534662780452,317.454773730272,1.505428282938314,28.361389334560183,7104.776303433714,1.7962518934118024
11,11.0,57.0,193.0,0.0,3789.0,9.053665276528767,317.454773730272,1.5207097308656778,28.294035853772993,7104.776303433714,1.7976332764565681
12,12.0,57.0,193.0,0.0,3789.0,9.059377550443607,317.454773730272,1.5330984236073113,28.235857385603847,7104.776303433714,1.7984906987146951
13,13.0,57.0,193.0,0.0,3789.0,9.062101967011795,317.454773730272,1.5426108647693635,28.185105468501124,7104.776303433714,1.798763877671114
14,14.0,57.0,193.0,0.0,3789.0,9.06168509379463,317.454773730272,1.5493779375427716,28.140220399814435,7104.776303433714,1.7984329879958671
